Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
44,11/8/21-ALG-GB-44,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-22.64,3.5,9.87,1.46,6.760273973,2.9,1.29,4.8715,-80.80391179,25.17568679
45,11/10/21-ALG-GB-45,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-19.26,2.61,7.39,0.86,8.593023256,,,5.602,-80.79908454,25.16861982
46,11/10/21-ALG-GB-46,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-17.78,2.6,9.72,1.21,8.033057851,,,0.3795,-80.80958331,25.16508427
47,11/10/21-ALG-GB-47,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.13,3.08,8.94,1.04,8.596153846,5,0.98,0.2986,-80.81103676,25.16067739
48,11/10/21-ALG-GB-48,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-17.52,3.11,6.98,0.96,7.270833333,,,1.6019,-80.81293645,25.15865979
49,11/10/21-ALG-GB-49,Microalgae,Wet,Garfield Bight,Alligator Creek System,Garfield Bight,,Bay,-16.98,2.96,6.13,0.77,7.961038961,-1.4,1.11,9.7163,-80.80514128,25.15227513
50,12/1/21-ALG-SP-50#2,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.81,3.51,8.04,0.9,8.933333333,-5.4,1.02,0.3751,-80.73687793,25.20414118
51,11/10/21-ALG-SP-51,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.32,3.19,7.98,0.86,9.279069767,,,0.5529,-80.72993683,25.19990408
52,12/1/21-ALG-SP-52#2,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.74,3.46,7.86,0.91,8.637362637,,,0.2349,-80.73938668,25.19997169
53,11/10/21-ALG-SP-53,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.57,3.83,8.14,0.85,9.576470588,-2.1,1.53,0.7407,-80.74542021,25.19681667
54,11/10/21-ALG-SP-54,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.82,3.42,6.68,0.57,11.71929825,,,0.0179,-80.73802384,25.19591601
55,11/10/21-ALG-SP-55,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-25.05,2.95,8.38,0.93,9.010752688,,,0.5107,-80.72504,25.19203
56,12/1/21-ALG-SP-56#2,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.84,2.98,8.13,0.9,9.033333333,,,0.3397,-80.71842331,25.19179218
57,11/10/21-ALG-SP-57,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.68,2.47,9.69,0.92,10.5326087,-7.4,1.99,2.1044,-80.71606,25.18531
58,11/10/21-ALG-SP-58,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.68,2.64,8.89,0.93,9.559139785,,,1.0169,-80.72261906,25.18323729
59,11/10/21-ALG-SP-59,Microalgae,Wet,Seven Palm,McCormick Creek System,McCormick Creek System,,Upstream,-24.36,2.23,7.85,1.19,6.596638655,,,0.487,-80.72021055,25.17577527
60,11/10/21-ALG-MI-60,Microalgae,Wet,Middle Lake,McCormick Creek System,McCormick Creek System,,Middle,-24.26,2.08,11.61,1.16,10.00862069,-4.8,2.1,2.4334,-80.72674626,25.17540026
