Site,Code,Species,Season,Lake,System,System2,Strata,Zone,d13C,d15N,C,N,C.N,d34S,S,Biomass,Latitude,Longitude
15,11/8/21-ALG-WL-15,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-18.88,1.07,18.89,1.87,10.10160428,16.6,1.33,1.1024,-80.80592855,25.21134233
15,5/9/22-ALG-WL-15,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-18.08,0.64,17.97,1.62,11.09259259,11.3,1.31,0.7661,-80.80592855,25.21134233
16,11/8/21-ALG-WL-16,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.8,4.15,16.12,1.66,9.710843373,NA,NA,0.3973,-80.85216703,25.20682864
16,5/9/22-ALG-WL-16,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-20.21,2.09,9.23,0.97,9.515463918,NA,NA,0.0282,-80.85216703,25.20682864
17,12/2/21-ALG-WL-17#2,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-19.55,2.55,19.33,1.74,11.1091954,NA,NA,0.2238,-80.84166171,25.20565088
17,5/9/22-ALG-WL-17,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-16.9,0.05,17.55,1.5,11.7,NA,NA,0.0165,-80.84166171,25.20565088
18,12/2/21-ALG-WL-18#2,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.13,2.42,14.02,1.46,9.602739726,10.3,1.03,0.1425,80.82776,25.20938
18,5/9/22-ALG-WL-18,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-20.77,1.82,11.15,1.19,9.369747899,9.1,0.87,0.0328,-80.82776,25.20938
19,12/2/21-ALG-WL-19#2,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-23.55,3.38,7.99,0.92,8.684782609,NA,NA,0.665,-80.80858877,25.20607654
19,5/9/22-ALG-WL-19,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.54,3.62,7.79,0.82,9.5,NA,NA,0.026,-80.80858877,25.20607654
20,11/8/21-ALG-WL-20,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.98,3.86,23.86,2.29,10.41921397,NA,NA,0.2866,80.84218,25.20265
20,5/9/22-ALG-WL-20,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-20.75,3.33,18.52,1.74,10.64367816,NA,NA,0.6463,-80.84218,25.20265
21,12/2/21-ALG-WL-21#2,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.73,2.75,14.78,1.51,9.78807947,NA,NA,0.019,-80.8247284,25.20314321
21,5/9/22-ALG-WL-21,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.22,2.43,6.2,0.59,10.50847458,NA,NA,0.0071,-80.8247284,25.20314321
22,11/8/21-ALG-WL-22,Microalgae,Wet,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.55,3.14,11.26,1.24,9.080645161,1.4,1.6,2.0314,-80.80071729,25.20243211
22,5/9/22-ALG-WL-22,Microalgae,Dry,West Lake,Alligator Creek System,Alligator Creek System,,Upstream,-22.42,2.81,7.86,1.02,7.705882353,5.1,1.07,0.2837,-80.80071729,25.20243211
23,12/2/21-ALG-CU-23#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-25.19,3.47,15.87,1.89,8.396825397,NA,NA,0.2463,-80.7796856,25.21275483
23,5/9/22-ALG-CU-23,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.79,2.84,15.73,1.86,8.456989247,NA,NA,1.0536,-80.7796856,25.21275483
24,12/2/21-ALG-CU-24#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-25.14,3.16,16.86,1.96,8.602040816,NA,NA,0.1672,-80.77318117,25.21161804
24,5/9/22-ALG-CU-24,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.16,2.95,20.34,2.25,9.04,NA,NA,0.7107,-80.77318117,25.21161804
25,11/8/21-ALG-CU-25,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.52,3,18.42,2.12,8.688679245,8.4,2.18,1.5289,-80.774561,25.189896
25,5/9/22-ALG-CU-25,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.53,2.8,17.05,1.9,8.973684211,12.5,1.47,1.3069,-80.78403302,25.20664233
26,12/2/21-ALG-CU-26#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-25.1,3.73,15.11,1.95,7.748717949,6.6,1.95,0.3931,-80.78401,25.20653
26,5/9/22-ALG-CU-26,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.22,3.53,19.02,2.4,7.925,13.9,0.99,0.1084,-80.78401,25.20653
27,11/8/21-ALG-CU-27,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.37,3.31,16.51,2.01,8.213930348,NA,NA,1.6866,-80.78064328,25.20994898
27,5/9/22-ALG-CU-27,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.51,3.14,14.87,2.02,7.361386139,NA,NA,0.4067,-80.78064328,25.20994898
28,11/8/21-ALG-CU-28,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.61,4.51,16.01,2.52,6.353174603,NA,NA,0.695,-80.76935538,25.207425
28,5/9/22-ALG-CU-28,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.48,2.8,14.55,1.65,8.818181818,NA,NA,0.3133,-80.76935538,25.207425
29,11/8/21-ALG-CU-29,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-24.84,2.67,21.33,2.94,7.255102041,NA,NA,1.5061,-80.76049355,25.20948441
29,5/9/22-ALG-CU-29,Microalgae,Dry,Cuthbert Lake,Alligator Creek System,Alligator Creek System,,Upstream,-21.11,1.3,12.95,1.33,9.736842105,NA,NA,2.8757,-80.76049355,25.20948441
30,11/8/21-ALG-CU-30,Microalgae,Wet,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-22.42,2.21,19.27,1.99,9.683417085,NA,NA,1.0482,-80.7747838,25.20973712
30,5/9/22-ALG-CU-30,Microalgae,Dry,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-21.93,2.55,14.18,1.23,11.52845528,NA,NA,2.4783,-80.7747838,25.20973712
31,11/8/21-ALG-CU-31,Microalgae,Wet,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-22.98,2.69,17.16,1.68,10.21428571,NA,NA,1.6447,-80.77454197,25.20971169
31,5/9/22-ALG-CU-31,Microalgae,Dry,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-21.79,3.96,12.03,1.06,11.3490566,NA,NA,2.3345,-80.77454197,25.20971169
32,11/8/21-ALG-CU-32,Microalgae,Wet,Cuthbert Rookery,Alligator Creek System,Alligator Creek System,,Upstream,-24.63,3.18,14.79,1.53,9.666666667,NA,NA,1.3914,-80.7740655,25.20994538
