Code,Species,Season,Lake,System,Strata,Zone,d13C,d15N,C,N,C.N,Biomass,Latitude,Longitude
11/8/21-ALG-LL-37,Microalgae,Wet,Long Lake,Alligator Creek System,,Middle,-25.27,3.7,12.22,1.58,7.734177215,2.9529,-80.79532615,25.19828574
11/8/21-ALG-LL-38,Microalgae,Wet,Long Lake,Alligator Creek System,,Middle,-24.9,3.79,12.78,1.97,6.487309645,1.8326,-80.78867816,25.19535681
11/8/21-ALG-LL-39,Microalgae,Wet,Long Lake,Alligator Creek System,,Middle,-23.85,2.16,15.49,2.14,7.238317757,2.6072,-80.77456057,25.18989593
11/8/21-ALG-LU-40,Microalgae,Wet,The Lungs,Alligator Creek System,,Downstream,-25.31,2.98,12.98,1.82,7.131868132,5.9009,-80.77512156,25.17457251
11/8/21-ALG-LU-41,Microalgae,Wet,The Lungs,Alligator Creek System,,Downstream,-24.08,2.44,8.67,1.2,7.225,2.5308,-80.76455375,25.17288717
11/8/21-ALG-LU-42,Microalgae,Wet,The Lungs,Alligator Creek System,,Downstream,-24.61,2.49,10.59,1.36,7.786764706,1.3558,-80.76938104,25.1705475
11/8/21-ALG-SC-76,Microalgae,Wet,Florida Bay,Florida Bay,Florida Bay,Florida Bay,-18.15,2.99,5.87,0.85,6.905882353,4.4814,-80.80284026,25.14107559
11/8/21-ALG-WL-10,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,,Upstream,-25.59,3.07,12.04,1.28,9.40625,2.8229,-80.85019736,25.21475798
11/8/21-ALG-WL-11,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,,Upstream,-23.05,2.84,15.94,1.72,9.26744186,0.8664,-80.85011894,25.2145053
11/8/21-ALG-WL-12,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,,Upstream,-23.64,3.14,14.59,1.5,9.726666667,0.6991,-80.8500916,25.21443398
11/8/21-ALG-WL-15,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-18.88,1.07,18.89,1.87,10.10160428,1.1024,-80.80592855,25.21134233
11/8/21-ALG-WL-16,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-21.8,4.15,16.12,1.66,9.710843373,0.3973,-80.85216703,25.20682864
11/8/21-ALG-WL-20,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-21.98,3.86,23.86,2.29,10.41921397,0.2866,80.84218,25.20265
11/8/21-ALG-WL-22,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-24.55,3.14,11.26,1.24,9.080645161,2.0314,-80.80071729,25.20243211
11/8/21-ALG-WL-79,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,,Upstream,-24.98,3.43,13.35,1.43,9.335664336,2.1657,-80.85022,25.21468
11/8/21-ALG-WL-80,Microalgae,Wet,West Lake Bathroom,Alligator Creek System,,Upstream,-24.99,3.5,13.17,1.4,9.407142857,1.4599,-80.85023,25.21461
11/9/21-ALG-CU-78,Microalgae,Wet,Cuthbert Groundwater,Alligator Creek System,,Upstream,-24.91,3.05,18.21,2.06,8.839805825,1.45,-80.76735,25.20445
12/1/21-ALG-SP-50#2,Microalgae,Wet,Seven Palm,McCormick Creek System,,Upstream,-25.81,3.51,8.04,0.9,8.933333333,0.3751,-80.73687793,25.20414118
12/1/21-ALG-SP-52#2,Microalgae,Wet,Seven Palm,McCormick Creek System,,Upstream,-25.74,3.46,7.86,0.91,8.637362637,0.2349,-80.73938668,25.19997169
12/1/21-ALG-SP-56#2,Microalgae,Wet,Seven Palm,McCormick Creek System,,Upstream,-24.84,2.98,8.13,0.9,9.033333333,0.3397,-80.71842331,25.19179218
12/2/21-ALG-CU-23#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,,Upstream,-25.19,3.47,15.87,1.89,8.396825397,0.2463,-80.7796856,25.21275483
12/2/21-ALG-CU-24#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,,Upstream,-25.14,3.16,16.86,1.96,8.602040816,0.1672,-80.77318117,25.21161804
12/2/21-ALG-CU-26#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,,Upstream,-25.1,3.73,15.11,1.95,7.748717949,0.3931,-80.78401,25.20653
12/2/21-ALG-CU-34#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,,Upstream,-25.09,4.65,9.36,1.4,6.685714286,0.0361,-80.7789951,25.20092749
12/2/21-ALG-CU-35#2,Microalgae,Wet,Cuthbert Lake,Alligator Creek System,,Upstream,-25.15,4.13,11.84,1.73,6.843930636,0.0431,-80.77300269,25.20308434
12/2/21-ALG-CU-36#2,Microalgae,Wet,Cuthbert Groundwater,Alligator Creek System,,Upstream,-25.43,2.92,14.55,1.91,7.617801047,0.5783,-80.76756,25.20419
12/2/21-ALG-CU-77#2,Microalgae,Wet,Cuthbert Groundwater,Alligator Creek System,,Upstream,-25.53,2.73,18.44,1.98,9.313131313,0.6285,-80.76728,25.20412
12/2/21-ALG-WL-13#2,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-21.94,3.45,9.37,0.98,9.56122449,0.201,80.83881,25.21164
12/2/21-ALG-WL-14#2,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-23.51,2.93,11.58,1.26,9.19047619,1.1708,80.81963,25.21331
12/2/21-ALG-WL-17#2,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-19.55,2.55,19.33,1.74,11.1091954,0.2238,-80.84166171,25.20565088
12/2/21-ALG-WL-18#2,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-21.13,2.42,14.02,1.46,9.602739726,0.1425,80.82776,25.20938
12/2/21-ALG-WL-19#2,Microalgae,Wet,West Lake,Alligator Creek System,,Upstream,-23.55,3.38,7.99,0.92,8.684782609,0.665,-80.80858877,25.20607654
